variant_id,model_parsed,gnn_stage,ratio_cat,card_bin,n,mean_rank,median_rank,std_rank,iqr_rank
fttransformer::decoding,fttransformer,decoding,few,3-10,18,11.37,8.0,6.00951598325033,11.21
fttransformer::decoding,fttransformer,decoding,few,>10,9,11.37,8.0,6.1944672894446695,11.21
fttransformer::encoding,fttransformer,encoding,few,2,291,8.994226804123713,7.14,5.051467352893417,10.81
fttransformer::encoding,fttransformer,encoding,few,3-10,18,10.024444444444445,7.6,4.956365155590896,8.0
fttransformer::encoding,fttransformer,encoding,few,>10,9,10.024444444444445,7.6,5.108904263908044,8.0
fttransformer::materialize,fttransformer,materialize,few,2,291,9.854364261168385,10.0,3.119362753992265,4.390000000000001
fttransformer::materialize,fttransformer,materialize,few,3-10,18,10.128888888888888,10.0,3.7122957680229427,6.040000000000001
fttransformer::materialize,fttransformer,materialize,few,>10,9,10.128888888888888,10.0,3.826546891273007,6.040000000000001
fttransformer::start,fttransformer,start,few,2,291,9.906563573883162,9.5,2.49410557775997,4.26
fttransformer::start,fttransformer,start,few,3-10,18,10.594444444444443,10.57,2.964980353515353,4.26
fttransformer::start,fttransformer,start,few,>10,9,10.594444444444443,10.57,3.0562317938562478,4.26
resnet::columnwise,resnet,columnwise,few,2,291,10.885189003436427,10.83,3.06511419858403,5.3100000000000005
resnet::columnwise,resnet,columnwise,few,3-10,18,11.345555555555556,10.83,2.9158758591791583,4.510000000000002
resnet::columnwise,resnet,columnwise,few,>10,9,11.345555555555556,10.83,3.0056160396460787,4.510000000000002
resnet::decoding,resnet,decoding,few,2,291,7.939793814432989,4.33,5.522257530503529,10.719999999999999
resnet::decoding,resnet,decoding,few,3-10,18,8.715555555555556,5.7,6.158800706614141,11.899999999999999
resnet::decoding,resnet,decoding,few,>10,9,8.715555555555556,5.7,6.348346460124697,11.899999999999999
resnet::encoding,resnet,encoding,few,2,291,10.370996563573883,8.31,3.348575513401731,7.37
resnet::encoding,resnet,encoding,few,3-10,18,11.253333333333334,12.0,3.012120613161978,5.4
resnet::encoding,resnet,encoding,few,>10,9,11.253333333333334,12.0,3.1048228612917677,5.4
resnet::materialize,resnet,materialize,few,2,291,10.025841924398625,8.5,2.920730109908469,5.289999999999999
resnet::materialize,resnet,materialize,few,3-10,18,10.322222222222223,8.5,4.017771632247021,5.849999999999999
resnet::materialize,resnet,materialize,few,>10,9,10.322222222222221,8.5,4.141424204841185,5.849999999999999
resnet::start,resnet,start,few,2,291,9.144329896907216,7.58,3.8647733324843756,6.959999999999999
resnet::start,resnet,start,few,3-10,18,9.97888888888889,7.58,4.384860167988308,6.489999999999999
resnet::start,resnet,start,few,>10,9,9.97888888888889,7.58,4.519810406544849,6.489999999999999
scarf::columnwise,scarf,columnwise,few,2,291,12.507491408934706,13.0,2.1858274443114785,1.17
scarf::columnwise,scarf,columnwise,few,3-10,18,11.972222222222221,13.0,3.1293930167997073,4.17
scarf::columnwise,scarf,columnwise,few,>10,9,11.972222222222221,13.0,3.2257044880838732,4.17
scarf::decoding,scarf,decoding,few,2,291,10.46319587628866,7.33,5.455468603354786,10.370000000000001
scarf::decoding,scarf,decoding,few,3-10,18,11.21888888888889,7.6,5.8420875488223025,11.129999999999999
scarf::decoding,scarf,decoding,few,>10,9,11.21888888888889,7.6,6.021886009475031,11.129999999999999
scarf::encoding,scarf,encoding,few,2,291,12.572371134020619,12.5,2.404883296270553,2.66
scarf::encoding,scarf,encoding,few,3-10,18,11.742222222222221,12.5,3.5604090240168547,5.140000000000001
scarf::encoding,scarf,encoding,few,>10,9,11.742222222222221,12.5,3.669985619105945,5.140000000000001
scarf::materialize,scarf,materialize,few,2,291,12.108694158075602,12.32,1.46065986951584,1.3100000000000005
scarf::materialize,scarf,materialize,few,3-10,18,11.526666666666666,12.0,2.5244917951004346,2.1999999999999993
scarf::materialize,scarf,materialize,few,>10,9,11.526666666666666,12.0,2.6021865805510562,2.1999999999999993
scarf::start,scarf,start,few,2,291,11.873573883161512,12.17,1.7877474587924895,1.2199999999999989
scarf::start,scarf,start,few,3-10,18,11.662222222222223,12.06,2.7081305806460043,3.5299999999999994
scarf::start,scarf,start,few,>10,9,11.662222222222223,12.06,2.7914771079921907,3.5299999999999994
subtab::columnwise,subtab,columnwise,few,2,16830,69.65454545454546,70.0,28.008115687674614,42.0
subtab::columnwise,subtab,columnwise,few,3-10,612,86.0,86.0,3.002453988140395,6.0
subtab::columnwise,subtab,columnwise,few,>10,306,65.0,65.0,0.0,0.0
subtab::decoding,subtab,decoding,few,2,291,11.93762886597938,11.17,2.280717570020094,2.9499999999999993
subtab::decoding,subtab,decoding,few,3-10,18,11.853333333333333,11.17,3.9903294866169516,4.040000000000001
subtab::decoding,subtab,decoding,few,>10,9,11.853333333333333,11.17,4.113137488584596,4.040000000000001
subtab::encoding,subtab,encoding,few,2,16830,72.05454545454545,71.0,26.677590923182304,43.0
subtab::encoding,subtab,encoding,few,3-10,612,89.0,89.0,3.002453988140395,6.0
subtab::encoding,subtab,encoding,few,>10,306,71.0,71.0,0.0,0.0
subtab::materialize,subtab,materialize,few,2,291,8.070378006872852,4.61,5.231020754353795,10.46
subtab::materialize,subtab,materialize,few,3-10,18,9.19111111111111,6.0,5.506497647313514,9.350000000000001
subtab::materialize,subtab,materialize,few,>10,9,9.19111111111111,6.0,5.675967856772191,9.350000000000001
subtab::start,subtab,start,few,2,16830,75.36363636363636,81.0,24.90372518885098,37.0
subtab::start,subtab,start,few,3-10,612,95.5,95.5,1.5012269940701974,3.0
subtab::start,subtab,start,few,>10,306,92.0,92.0,0.0,0.0
tabm::columnwise,tabm,columnwise,few,2,291,9.141340206185568,6.83,4.763036259000164,9.29
tabm::columnwise,tabm,columnwise,few,3-10,18,9.532222222222224,6.9,5.080041171157335,9.29
tabm::columnwise,tabm,columnwise,few,>10,9,9.532222222222224,6.9,5.2363865827920355,9.29
tabm::decoding,tabm,decoding,few,2,291,11.267388316151203,10.8,3.082219204494168,6.26
tabm::decoding,tabm,decoding,few,3-10,18,11.953333333333333,12.0,3.7082420125349707,6.26
tabm::decoding,tabm,decoding,few,>10,9,11.953333333333333,12.0,3.822368375758673,6.26
tabm::encoding,tabm,encoding,few,2,291,8.77766323024055,7.33,4.133497062894044,7.82
tabm::encoding,tabm,encoding,few,3-10,18,9.176666666666668,8.9,4.849887809496822,7.82
tabm::encoding,tabm,encoding,few,>10,9,9.176666666666668,8.9,4.999149927737715,7.82
tabm::materialize,tabm,materialize,few,2,291,10.797800687285223,9.67,2.598921787335889,4.629999999999999
tabm::materialize,tabm,materialize,few,3-10,18,10.751111111111111,9.67,3.216031330124112,5.01
tabm::materialize,tabm,materialize,few,>10,9,10.751111111111111,9.67,3.3150092173493437,5.01
tabm::start,tabm,start,few,2,291,10.132027491408936,10.17,2.5680735459041384,2.7200000000000006
tabm::start,tabm,start,few,3-10,18,10.55,10.17,2.893753922624707,2.7200000000000006
tabm::start,tabm,start,few,>10,9,10.55,10.17,2.9828132693817757,2.7200000000000006
tabnet::columnwise,tabnet,columnwise,few,2,291,11.05343642611684,8.83,5.758752907254008,11.510000000000002
tabnet::columnwise,tabnet,columnwise,few,3-10,18,11.04,8.83,6.831442875755156,12.240000000000002
tabnet::columnwise,tabnet,columnwise,few,>10,9,11.04,8.83,7.041690138027944,12.240000000000002
tabnet::decoding,tabnet,decoding,few,2,291,9.26,8.67,3.359795252382358,3.919999999999999
tabnet::decoding,tabnet,decoding,few,3-10,18,11.181111111111111,11.36,3.7696978953521234,5.76
tabnet::decoding,tabnet,decoding,few,>10,9,11.181111111111111,11.36,3.8857156498013476,5.76
tabnet::encoding,tabnet,encoding,few,2,291,10.614398625429553,7.17,5.647991028174794,10.65
tabnet::encoding,tabnet,encoding,few,3-10,18,10.326666666666666,7.17,6.967389586284007,11.649999999999999
tabnet::encoding,tabnet,encoding,few,>10,9,10.326666666666666,7.17,7.1818207997693735,11.649999999999999
tabnet::materialize,tabnet,materialize,few,2,291,10.235979381443299,8.69,2.670727006715773,4.040000000000001
tabnet::materialize,tabnet,materialize,few,3-10,18,10.713333333333333,8.69,3.4568465738725114,5.489999999999999
tabnet::materialize,tabnet,materialize,few,>10,9,10.713333333333333,8.69,3.5632358889077214,5.489999999999999
tabnet::start,tabnet,start,few,2,291,10.776975945017181,10.33,2.281744900087329,3.9499999999999993
tabnet::start,tabnet,start,few,3-10,18,11.183333333333334,10.33,2.7875099577769915,3.9499999999999993
