competitor,approx_normal(11),constant(3),heavy_tailed(9),highly_skewed(12),moderately_skewed(9),multimodal(14)
fttransformer|0.8_0.15_0.05|start,37.36363636363637,51.333333333333336,36.666666666666664,44.0,39.888888888888886,45.857142857142854
resnet|0.05_0.15_0.8|columnwise,53.81818181818182,19.0,62.77777777777778,69.75,60.111111111111114,54.857142857142854
resnet|0.05_0.15_0.8|decoding,82.36363636363636,67.33333333333333,84.11111111111111,79.33333333333333,81.88888888888889,86.78571428571429
resnet|0.05_0.15_0.8|encoding,50.0,17.333333333333332,57.44444444444444,64.33333333333333,59.666666666666664,44.07142857142857
resnet|0.05_0.15_0.8|materialize,68.27272727272727,49.666666666666664,62.22222222222222,56.916666666666664,74.88888888888889,52.57142857142857
resnet|0.05_0.15_0.8|start,63.54545454545455,42.666666666666664,66.44444444444444,61.583333333333336,74.55555555555556,53.57142857142857
resnet|0.8_0.15_0.05|columnwise,38.81818181818182,13.333333333333334,29.11111111111111,43.833333333333336,27.0,35.642857142857146
resnet|0.8_0.15_0.05|decoding,84.72727272727273,68.33333333333333,88.88888888888889,81.08333333333333,53.22222222222222,57.57142857142857
resnet|0.8_0.15_0.05|encoding,20.727272727272727,12.333333333333334,31.77777777777778,27.75,23.11111111111111,21.214285714285715
resnet|0.8_0.15_0.05|materialize,30.363636363636363,32.666666666666664,31.77777777777778,27.666666666666668,34.22222222222222,30.5
resnet|0.8_0.15_0.05|start,37.45454545454545,36.0,38.0,31.25,35.0,34.357142857142854
scarf|0.05_0.15_0.8|columnwise,46.45454545454545,88.33333333333333,56.888888888888886,33.666666666666664,56.55555555555556,42.5
scarf|0.05_0.15_0.8|decoding,68.18181818181819,85.0,72.77777777777777,60.75,73.33333333333333,62.92857142857143
scarf|0.05_0.15_0.8|encoding,47.54545454545455,86.66666666666667,55.22222222222222,32.25,57.0,41.92857142857143
scarf|0.05_0.15_0.8|materialize,42.09090909090909,83.33333333333333,47.44444444444444,25.75,49.44444444444444,36.214285714285715
scarf|0.05_0.15_0.8|start,42.18181818181818,86.66666666666667,48.333333333333336,28.166666666666668,49.77777777777778,35.5
scarf|0.8_0.15_0.05|columnwise,32.18181818181818,84.66666666666667,18.0,14.666666666666666,19.0,20.428571428571427
scarf|0.8_0.15_0.05|decoding,60.54545454545455,82.0,54.22222222222222,62.75,39.44444444444444,54.785714285714285
scarf|0.8_0.15_0.05|encoding,26.727272727272727,86.0,27.0,16.666666666666668,19.555555555555557,15.785714285714286
scarf|0.8_0.15_0.05|materialize,15.818181818181818,84.33333333333333,15.555555555555555,2.0833333333333335,17.444444444444443,11.5
scarf|0.8_0.15_0.05|start,15.181818181818182,85.33333333333333,16.555555555555557,1.4166666666666667,16.666666666666668,10.428571428571429
subtab|0.05_0.15_0.8|columnwise,75.18181818181819,58.0,86.88888888888889,74.91666666666667,93.33333333333333,90.35714285714286
