competitor,mean_rank,std_rank,min_rank,min_dists,max_rank,max_dists,rank_range,consistency,sorted_distributions
tabtransformer|0.05_0.15_0.8|encoding,64.9512,5.1845,57.3333,constant,69.1111,moderately_skewed,11.7778,variable,constant:57.333;highly_skewed:59.333;approx_normal:67.818;multimodal:68.0;heavy_tailed:68.111;moderately_skewed:69.111
tabtransformer|0.05_0.15_0.8|materialize,67.8375,5.7418,57.5,highly_skewed,74.0,multimodal,16.5,variable,highly_skewed:57.5;constant:66.333;approx_normal:68.636;heavy_tailed:68.667;moderately_skewed:71.889;multimodal:74.0
tabtransformer|0.05_0.15_0.8|start,65.9871,5.4524,55.8333,highly_skewed,71.2222,moderately_skewed,15.3889,variable,highly_skewed:55.833;constant:64.667;multimodal:66.857;heavy_tailed:67.889;approx_normal:69.455;moderately_skewed:71.222
tabtransformer|0.8_0.15_0.05|columnwise,44.7563,13.3721,25.6667,constant,60.1667,highly_skewed,34.5,variable,constant:25.667;heavy_tailed:36.778;moderately_skewed:39.667;approx_normal:47.545;multimodal:58.714;highly_skewed:60.167
tabtransformer|0.8_0.15_0.05|decoding,49.6179,11.6939,33.7778,moderately_skewed,67.6667,constant,33.8889,variable,moderately_skewed:33.778;highly_skewed:44.75;heavy_tailed:46.0;approx_normal:47.727;multimodal:57.786;constant:67.667
tabtransformer|0.8_0.15_0.05|encoding,43.5079,14.8249,24.0,constant,61.7143,multimodal,37.7143,variable,constant:24.0;moderately_skewed:33.778;heavy_tailed:37.222;approx_normal:45.0;highly_skewed:59.333;multimodal:61.714
tabtransformer|0.8_0.15_0.05|materialize,49.9037,13.6903,34.2222,moderately_skewed,71.75,highly_skewed,37.5278,variable,moderately_skewed:34.222;heavy_tailed:37.667;constant:47.667;approx_normal:50.545;multimodal:57.571;highly_skewed:71.75
tabtransformer|0.8_0.15_0.05|start,46.7486,10.1771,33.0,heavy_tailed,58.4286,multimodal,25.4286,variable,heavy_tailed:33.0;moderately_skewed:37.889;constant:46.667;approx_normal:47.091;highly_skewed:57.417;multimodal:58.429
trompt|0.05_0.15_0.8|columnwise,38.4162,9.5833,27.0,constant,52.3333,heavy_tailed,25.3333,variable,constant:27.0;multimodal:31.0;highly_skewed:33.417;approx_normal:41.636;moderately_skewed:45.111;heavy_tailed:52.333
trompt|0.05_0.15_0.8|decoding,82.3617,4.8148,76.8571,multimodal,91.0,constant,14.1429,variable,multimodal:76.857;approx_normal:80.091;heavy_tailed:81.0;moderately_skewed:81.222;highly_skewed:84.0;constant:91.0
trompt|0.05_0.15_0.8|encoding,40.5961,10.1482,25.6667,constant,53.1111,heavy_tailed,27.4444,variable,constant:25.667;multimodal:34.071;highly_skewed:37.333;approx_normal:44.727;moderately_skewed:48.667;heavy_tailed:53.111
trompt|0.05_0.15_0.8|materialize,51.1641,8.7706,39.0833,highly_skewed,62.6667,heavy_tailed,23.5833,variable,highly_skewed:39.083;constant:45.667;multimodal:47.214;approx_normal:53.909;moderately_skewed:58.444;heavy_tailed:62.667
trompt|0.05_0.15_0.8|start,51.3694,6.2977,46.0,highly_skewed,61.2222,moderately_skewed,15.2222,variable,highly_skewed:46.0;multimodal:46.429;constant:48.0;approx_normal:49.455;heavy_tailed:57.111;moderately_skewed:61.222
trompt|0.8_0.15_0.05|columnwise,20.8114,9.6552,5.6667,constant,35.0833,highly_skewed,29.4167,variable,constant:5.667;multimodal:18.714;approx_normal:19.182;moderately_skewed:20.333;heavy_tailed:25.889;highly_skewed:35.083
trompt|0.8_0.15_0.05|decoding,70.4255,12.882,59.5556,moderately_skewed,95.3333,constant,35.7778,variable,moderately_skewed:59.556;heavy_tailed:61.444;approx_normal:67.636;multimodal:69.0;highly_skewed:69.583;constant:95.333
trompt|0.8_0.15_0.05|encoding,19.5072,8.3406,8.3333,constant,34.0833,highly_skewed,25.75,variable,constant:8.333;moderately_skewed:17.444;multimodal:18.0;approx_normal:18.182;heavy_tailed:21.0;highly_skewed:34.083
trompt|0.8_0.15_0.05|materialize,30.6748,5.0489,22.8571,multimodal,38.3333,highly_skewed,15.4762,variable,multimodal:22.857;moderately_skewed:28.333;heavy_tailed:31.222;approx_normal:31.636;constant:31.667;highly_skewed:38.333
trompt|0.8_0.15_0.05|start,30.6861,5.6965,24.5556,moderately_skewed,39.6667,highly_skewed,15.1111,variable,moderately_skewed:24.556;multimodal:26.571;heavy_tailed:27.778;approx_normal:30.545;constant:35.0;highly_skewed:39.667
vime|0.05_0.15_0.8|columnwise,61.4965,5.9013,50.3333,constant,67.1111,heavy_tailed,16.7778,variable,constant:50.333;multimodal:60.643;highly_skewed:62.083;approx_normal:64.364;moderately_skewed:64.444;heavy_tailed:67.111
vime|0.05_0.15_0.8|decoding,62.3329,4.3843,53.6667,highly_skewed,66.0,constant,12.3333,variable,highly_skewed:53.667;approx_normal:62.727;moderately_skewed:63.556;multimodal:63.714;heavy_tailed:64.333;constant:66.0
vime|0.05_0.15_0.8|encoding,62.5038,5.7722,52.0,constant,68.3333,heavy_tailed,16.3333,variable,constant:52.0;multimodal:60.786;highly_skewed:62.833;moderately_skewed:64.889;approx_normal:66.182;heavy_tailed:68.333
vime|0.05_0.15_0.8|materialize,66.3579,3.2421,62.3571,multimodal,72.1111,heavy_tailed,9.754,variable,multimodal:62.357;constant:64.667;highly_skewed:65.75;moderately_skewed:66.444;approx_normal:66.818;heavy_tailed:72.111
vime|0.05_0.15_0.8|start,65.6245,2.8108,62.9286,multimodal,69.5556,heavy_tailed,6.627,variable,multimodal:62.929;highly_skewed:63.0;constant:63.667;approx_normal:66.818;moderately_skewed:67.778;heavy_tailed:69.556
vime|0.8_0.15_0.05|columnwise,34.1097,7.2124,21.6667,moderately_skewed,43.6667,highly_skewed,22.0,variable,moderately_skewed:21.667;approx_normal:32.182;heavy_tailed:35.0;multimodal:35.143;constant:37.0;highly_skewed:43.667
vime|0.8_0.15_0.05|decoding,46.6793,9.1671,34.6667,moderately_skewed,60.6667,constant,26.0,variable,moderately_skewed:34.667;approx_normal:40.909;heavy_tailed:42.667;highly_skewed:50.167;multimodal:51.0;constant:60.667
vime|0.8_0.15_0.05|encoding,33.1035,6.8403,21.6667,moderately_skewed,42.9167,highly_skewed,21.25,variable,moderately_skewed:21.667;approx_normal:31.545;multimodal:33.714;heavy_tailed:33.778;constant:35.0;highly_skewed:42.917
vime|0.8_0.15_0.05|materialize,39.9941,11.6715,22.6667,moderately_skewed,56.3333,constant,33.6667,variable,moderately_skewed:22.667;heavy_tailed:33.889;approx_normal:38.909;multimodal:39.5;highly_skewed:48.667;constant:56.333
vime|0.8_0.15_0.05|start,42.5836,9.6506,26.1111,moderately_skewed,52.3333,constant,26.2222,variable,moderately_skewed:26.111;heavy_tailed:37.778;multimodal:43.643;approx_normal:44.636;highly_skewed:51.0;constant:52.333
